Time,Flow_Rate,Pressure
0,1400.83290228819,300000.112741075
0.001,1387.23423381355,300000.112741075
0.002,1372.74032226223,300000.112741075
0.003,1357.20316179135,300000.112741075
0.004,1340.51607605172,300000.112741075
0.005,1322.59208619647,300000.112741075
0.006,1303.36150777168,300000.112741075
0.007,1282.77506398853,300000.112741075
0.008,1260.80957389235,300000.112741075
0.009,1237.4750428549,300000.112741075
0.01,1212.82224410132,300000.112741075
0.011,1186.94975243891,300000.112741075
0.012,1160.00918562659,300000.112741075
0.013,1132.20729387571,300000.112741075
0.014,1103.8036466602,300000.112741075
0.015,1075.10308537817,300000.112741075
0.016,1046.44284213198,300000.112741075
0.017,1018.17515650212,300000.112741075
0.018,990.647139034028,300000.112741075
0.019,964.180278004054,300000.112741075
0.02,939.05216394827,300000.112741075
0.021,915.482647473894,300000.112741075
0.022,893.62584540445,300000.112741075
0.023,873.568388710363,300000.112741075
0.024,855.333325342471,300000.112741075
0.025,838.888367507536,300000.112741075
0.026,824.156816426977,300000.112741075
0.027,811.029502493513,300000.112741075
0.028,799.376353138239,300000.112741075
0.029,789.05661587308,300000.112741075
0.03,779.927199745198,300000.112741075
0.031,771.848970955578,300000.112741075
0.032,764.691107166373,300000.112741075
0.033,758.333775388169,300000.112741075
0.034,752.669467691592,300000.112741075
0.035,747.603333567095,300000.112741075
0.036,743.052813402382,300000.112741075
0.037,738.946824934059,300000.112741075
0.038,735.224697835936,300000.112741075
0.039,731.834999167339,300000.112741075
0.04,728.734348173271,300000.112741075
0.041,725.886283992463,300000.112741075
0.042,723.260223651735,300000.112741075
0.043,720.83052901148,300000.112741075
0.044,718.575688565432,300000.112741075
0.045,716.477611752931,300000.112741075
0.046,714.521028486538,300000.112741075
0.047,712.692983950726,300000.112741075
0.048,710.98241763934,300000.112741075
0.049,709.379815519679,300000.112741075
0.05,707.876924746479,300000.112741075
0.051,706.46652122796,300000.112741075
0.052,705.142221385553,300000.112741075
0.053,703.898330530707,300000.112741075
0.054,702.729721332782,300000.112741075
0.055,701.631736829164,300000.112741075
0.056,700.600113310831,300000.112741075
0.057,699.630919195563,300000.112741075
0.058,698.720506677321,300000.112741075
0.059,697.865473519646,300000.112741075
0.06,697.062632851411,300000.112741075
