method_name,evaluated_leaks,top1_within_300m,top5_within_300m,top10_within_300m,top1_rate,top5_rate,top10_rate,top1_error_min_m,top1_error_median_m,top1_error_mean_m,top1_error_max_m,candidate_count_min,candidate_count_median,candidate_count_mean,candidate_count_max,confidence_gap_median,confidence_ratio_median,abrupt_top1_rate,incipient_top1_rate,abrupt_top10_rate,incipient_top10_rate,weak_sensitivity_failures,xgb_zone_hit_top1,xgb_zone_hit_top3
Global sensitivity,29,13,13,14,0.448275862068966,0.448275862068966,0.482758620689655,31.368717697732,341.19043527772,621.370304949415,1986.97346973355,782,782,782,782,9.69214448046651e-05,1.00011002739899,0.833333333333333,0.176470588235294,0.833333333333333,0.235294117647059,4,NaN,NaN
MAS sensitivity,29,13,16,16,0.448275862068966,0.551724137931034,0.551724137931034,31.368717697732,341.19043527772,616.831207390771,2550.28118050246,78,78,78,78,0.000280762618799169,1.00022331714978,0.75,0.235294117647059,0.833333333333333,0.352941176470588,4,NaN,NaN
XGBoost top-3 zones + sensitivity,29,12,13,14,0.413793103448276,0.448275862068966,0.482758620689655,57.6394673813004,381.179916345287,653.01375996837,1986.97346973355,65,79,78.8620689655172,90,0.00012173219636924,1.00012212192752,0.75,0.176470588235294,0.833333333333333,0.235294117647059,4,5,12
