method_name,evaluated_leaks,top1_within_300m,top5_within_300m,top10_within_300m,top1_within_300m_pct,top5_within_300m_pct,top10_within_300m_pct,median_top1_error_m,mean_candidate_count
Global sensitivity,26,6,6,8,23.0769230769231,23.0769230769231,30.7692307692308,902.714428172656,782
MAS sensitivity,26,7,8,8,26.9230769230769,30.7692307692308,30.7692307692308,841.655194578647,78
XGBoost top-3 zones + sensitivity,29,12,13,14,41.3793103448276,44.8275862068966,48.2758620689655,381.179916345287,78.8620689655172
