method_name,evaluated_leaks,top1_within_300m,top5_within_300m,top10_within_300m,top1_rate,top5_rate,top10_rate,median_top1_error_m,mean_top1_error_m,mean_candidate_count
Global sensitivity,29,13,13,14,0.448275862068966,0.448275862068966,0.482758620689655,341.19043527772,621.370304949414,782
MAS sensitivity,29,13,16,16,0.448275862068966,0.551724137931034,0.551724137931034,341.19043527772,616.831207390771,78
XGBoost top-3 zones + sensitivity,29,12,13,14,0.413793103448276,0.448275862068966,0.482758620689655,381.179916345287,653.01375996837,78.8620689655172
