method_name,evaluated_leaks,top1_within_300m,top5_within_300m,top10_within_300m,top1_rate,top5_rate,top10_rate,median_top1_error_m,mean_top1_error_m,mean_candidate_count
Global sensitivity,29,13,13,14,0.4482758620689655,0.4482758620689655,0.4827586206896552,341.19043527772004,621.3703049494144,782.0
MAS sensitivity,29,13,16,16,0.4482758620689655,0.5517241379310345,0.5517241379310345,341.19043527772004,616.8312073907706,78.0
XGBoost top-3 zones + sensitivity,29,12,13,14,0.41379310344827586,0.4482758620689655,0.4827586206896552,381.1799163452868,653.0137599683701,78.86206896551724
