method,leak_id,start_time,demo_start,leak_type,year,alarmed,detected,false_alarm_before_leak,alarm_time,alarm_delay_h,threshold,calib_center,calib_scale,missed,detection_delay_hours,leak_start_time,leak_end_time
XBarFDM,p866,2018-06-01 09:05:00,2018-05-31 00:00:00,abrupt,2018.0,False,False,False,,,3.7224219732138266,-0.19377277367403464,0.9790486867219653,True,,2018-06-01 09:05:00,2018-06-12 03:00:00
Hybrid,p866,2018-06-01 09:05:00,2018-05-31 00:00:00,abrupt,2018.0,False,False,False,,,,,,True,,2018-06-01 09:05:00,2018-06-12 03:00:00
CUSUM,p31,2018-06-28 10:35:00,2018-06-27 00:00:00,incipient,2018.0,True,True,False,2018-07-16 03:50:00,425.25,53.41624747371794,1.7113729074235602,0.8902707912286323,False,425.25,2018-06-28 10:35:00,2018-08-12 17:30:00
XBarFDM,p31,2018-06-28 10:35:00,2018-06-27 00:00:00,incipient,2018.0,False,False,False,,,2.402349098545788,-0.10871570303328729,0.6277662003947688,True,,2018-06-28 10:35:00,2018-08-12 17:30:00
Hybrid,p31,2018-06-28 10:35:00,2018-06-27 00:00:00,incipient,2018.0,True,True,False,2018-07-16 03:50:00,425.25,,,,False,425.25,2018-06-28 10:35:00,2018-08-12 17:30:00
CUSUM,p654,2018-07-05 03:40:00,2018-07-04 00:00:00,incipient,2018.0,True,True,False,2018-07-19 10:05:00,342.4166666666667,58.20337274249334,1.7793028196985858,0.970056212374889,False,342.4166666666667,2018-07-05 03:40:00,2019-12-31 23:55:00
XBarFDM,p654,2018-07-05 03:40:00,2018-07-04 00:00:00,incipient,2018.0,True,True,False,2018-11-03 19:45:00,2920.0833333333335,3.001631028459531,-0.13727546537376747,0.7847266234583246,False,2920.0833333333335,2018-07-05 03:40:00,2019-12-31 23:55:00
Hybrid,p654,2018-07-05 03:40:00,2018-07-04 00:00:00,incipient,2018.0,True,True,False,2018-07-19 10:05:00,342.4166666666667,,,,False,342.4166666666667,2018-07-05 03:40:00,2019-12-31 23:55:00
CUSUM,p183,2018-08-07 02:35:00,2018-08-06 00:00:00,abrupt,2018.0,True,True,False,2018-08-08 11:05:00,32.5,37.739656759231735,1.5268306133304972,0.6289942793205289,False,32.5,2018-08-07 02:35:00,2018-09-01 17:10:00
XBarFDM,p183,2018-08-07 02:35:00,2018-08-06 00:00:00,abrupt,2018.0,False,False,False,,,1.751503466633533,-0.20445629423986147,0.48898994021834863,True,,2018-08-07 02:35:00,2018-09-01 17:10:00
Hybrid,p183,2018-08-07 02:35:00,2018-08-06 00:00:00,abrupt,2018.0,True,True,False,2018-08-08 11:05:00,32.5,,,,False,32.5,2018-08-07 02:35:00,2018-09-01 17:10:00
CUSUM,p158,2018-10-06 02:35:00,2018-10-05 00:00:00,abrupt,2018.0,True,True,False,2018-10-06 20:10:00,17.583333333333332,57.377076624609856,1.3618511678077523,0.9562846104101642,False,17.583333333333332,2018-10-06 02:35:00,2018-10-23 13:35:00
XBarFDM,p158,2018-10-06 02:35:00,2018-10-05 00:00:00,abrupt,2018.0,False,False,False,,,3.4014968229455227,-0.01521424042451749,0.85417776584251,True,,2018-10-06 02:35:00,2018-10-23 13:35:00
Hybrid,p158,2018-10-06 02:35:00,2018-10-05 00:00:00,abrupt,2018.0,True,True,False,2018-10-06 20:10:00,17.583333333333332,,,,False,17.583333333333332,2018-10-06 02:35:00,2018-10-23 13:35:00
CUSUM,p369,2018-10-26 02:05:00,2018-10-25 00:00:00,abrupt,2018.0,True,True,False,2018-10-26 18:10:00,16.083333333333332,53.51263856823161,1.7968082388906548,0.8918773094705268,False,16.083333333333332,2018-10-26 02:05:00,2018-11-08 20:25:00
XBarFDM,p369,2018-10-26 02:05:00,2018-10-25 00:00:00,abrupt,2018.0,True,True,False,2018-10-28 17:40:00,63.583333333333336,2.6856889734339435,-0.11518304313994128,0.7002180041434712,False,63.583333333333336,2018-10-26 02:05:00,2018-11-08 20:25:00
Hybrid,p369,2018-10-26 02:05:00,2018-10-25 00:00:00,abrupt,2018.0,True,True,False,2018-10-26 18:10:00,16.083333333333332,,,,False,16.083333333333332,2018-10-26 02:05:00,2018-11-08 20:25:00
CUSUM,p523,2019-01-15 23:00:00,2019-01-14 00:00:00,abrupt,2019.0,True,True,False,2019-01-16 17:20:00,18.333333333333332,46.09429574155706,1.186109204777875,0.7682382623592844,False,18.333333333333332,2019-01-15 23:00:00,2019-02-01 09:50:00
XBarFDM,p523,2019-01-15 23:00:00,2019-01-14 00:00:00,abrupt,2019.0,False,False,False,,,3.0164189107964496,-0.008903554459433539,0.7563306163139708,True,,2019-01-15 23:00:00,2019-02-01 09:50:00
Hybrid,p523,2019-01-15 23:00:00,2019-01-14 00:00:00,abrupt,2019.0,True,True,False,2019-01-16 17:20:00,18.333333333333332,,,,False,18.333333333333332,2019-01-15 23:00:00,2019-02-01 09:50:00
CUSUM,p827,2019-01-24 18:30:00,2019-01-23 00:00:00,abrupt,2019.0,True,True,False,2019-01-25 16:20:00,21.833333333333332,49.24684376951199,1.1545942539472147,0.8207807294918665,False,21.833333333333332,2019-01-24 18:30:00,2019-02-07 09:05:00
XBarFDM,p827,2019-01-24 18:30:00,2019-01-23 00:00:00,abrupt,2019.0,False,False,False,,,3.0271750753229982,-0.05890833156235509,0.7715208517213383,True,,2019-01-24 18:30:00,2019-02-07 09:05:00
